LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
3833920100407020433,,Kings College London,Chancery Lane,WC2A 1LR,329926630000,91,,93,D,1556,241,0,University Campus,2010-02-15,E09000001,E14000639,Greater London Authority,2010-04-07,University Campus,Natural Gas,,,,18917,66,258,150,98,0,0,,1782,,303,,0,Yes,,2,3,Heating and Mechanical Ventilation,S4;,"Kings College London, Chancery Lane",City of London,Cities of London and Westminster,c2cdd4197f85ea42131e4e17c758256b585a6c62ed4ccf9bbec54455f87a8724
2541920101018031041,,Trinity House Lighthouse Service,"Trinity House, Trinity Square",EC3N 4DH,734158170000,137,146,154,F,275,64,0,General Office,2008-10-02,E09000001,E14000639,Greater London Authority,2010-10-18,General Office,Natural Gas,,,,2900,113,126,172,110,0,0,294,281,64,93,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,C1;,"Trinity House Lighthouse Service, Trinity House, Trinity Square",City of London,Cities of London and Westminster,f8787f375a0fc99443bdd6e5856aa37e04a4573f5c9bf32122a87cf599ec2aa2
2541920141006041002,,Trinity House Lighthouse Service,"Trinity House, Trinity Square",EC3N 4DH,734158170000,116,131,159,E,171,102,0,General Office,2014-09-27,E09000001,E14000639,Greater London Authority,2014-10-06,General Office,Natural Gas,,,,2649,199,117,117,120,0,0,259,305,64,77,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,C1;,"Trinity House Lighthouse Service, Trinity House, Trinity Square",City of London,Cities of London and Westminster,44f5c9d674c849cda49e1b8aec5f5449bf41ac8cf9b0c3aa2ea6dff43470ce30
2680820111128021141,,Sir John Cass's Foundation Primary School,St. James's Passage,EC3A 5DE,857932930000,203,168,192,G,103,78,0,Schools And Seasonal Public Buildings,2011-11-28,E09000001,E14000639,Greater London Authority,2011-11-28,Schools And Seasonal Public Buildings,Natural Gas,,,,1769,228,145,105,40,0,0,80,92,70,80,0,0,No,1,,5,Heating and Natural Ventilation,S3,"Sir John Cass's Foundation Primary School, St. James's Passage",City of London,Cities of London and Westminster,6cdb745ec85848f191eee0602110e364604edde0e1c2ab292a52121f939ba21b
1734320141015091031,,The Bank of England,Threadneedle Street,EC2R 8AH,721373780000,115,132,152,E,7020,889,0,General Office; Storage Facility; Fitness And Health Centre; Restaurant,2014-10-01,E09000001,E14000639,Greater London Authority,2014-10-15,General Office,Natural Gas,,,,74173,63,129,142,98,0,0,7346,7164,1344,1214,0,0,No,,,5,Mixed-mode with Mechanical Ventilation,C1; W4; H7; H1;,"The Bank of England, Threadneedle Street",City of London,Cities of London and Westminster,e553aeb8ce241406cf8ab28fb91ad3811b7d17ba2e87c842f7eb55b7e650a690
1734320151120031145,,The Bank of England,Threadneedle Street,EC2R 8AH,721373780000,123,115,132,E,7279,1269,0,General Office; Storage Facility; Fitness And Health Centre; Restaurant,2015-10-21,E09000001,E14000639,Greater London Authority,2015-11-20,General Office,Natural Gas,,"General Office, Electricity 2451801 kWh;",Not applicable,74173,89,134,147,98,0,0,7020,7346,889,1344,0,0,Yes,,3,5,Mixed-mode with Mechanical Ventilation,C1; W4; H7; H1;,"The Bank of England, Threadneedle Street",City of London,Cities of London and Westminster,d102d145e66c0f59a8e2929e5927b5fb2cd8ec1025e0e7d7fcd94246071f4b37
1737120121108031111,,City of London Corporation,Barbican Art Centre,EC2Y 8HB,579486170000,73,73,82,C,4640,1333,0,Cultural Activities,2012-11-07,E09000001,E14000639,Greater London Authority,2012-11-08,Cultural Activities,District Heating,,,,82811,87,221,102,101,0,0,4857,5343,1264,1539,0,0,Yes,,3,2,Air Conditioning,H4,"City of London Corporation, Barbican Art Centre",City of London,Cities of London and Westminster,b100e7eeb15a3c016ce58eac4a2bf661feb885f09c990cae8207e7105eaed4ee
1737120150824030822,,City of London Corporation,Barbican Art Centre,EC2Y 8HB,579486170000,60,83,73,C,2895,1685,0,Cultural Activities; Entertainment Halls; Restaurant,2015-01-28,E09000001,E14000639,Greater London Authority,2015-08-24,Cultural Activities,District Heating,,,,82811,89,231,64,87,0,0,3616,4640,1786,1333,0,0,Yes,,3,5,Mixed-mode with Mechanical Ventilation,H4; H5; H1;,"City of London Corporation, Barbican Art Centre",City of London,Cities of London and Westminster,529a5ae579f8177b4ed04075b7dc16964933b050da1d52217e0f1e3c97f9da49
1737320121108031128,,City of London Corporation,Central Criminal Court,EC4N 4XP,171594050000,115,120,121,E,1713,1344,0,General Office,2012-11-07,E09000001,E14000639,Greater London Authority,2012-11-08,General Office,Oil,,,,35992,143,110,87,95,0,0,1776,1803,1451,1472,0,0,No,1,,5,Heating and Natural Ventilation,C1,"City of London Corporation, Central Criminal Court",City of London,Cities of London and Westminster,d1f98b6ef1ea79e2898e2375b21144427d5f99bdfc39e5c937cda1acab7da37b
1737320150930110919,,City of London Corporation,Central Criminal Court,EC4N 4XP,171594050000,135,105,115,F,1520,1175,0,General Office,2015-01-06,E09000001,E14000639,Greater London Authority,2015-09-30,General Office,Oil,,,,27853.93,162,101,99,95,0,0,1519,1713,1359,1344,0,0,Yes,,2,5,Heating and Natural Ventilation,C1;,"City of London Corporation, Central Criminal Court",City of London,Cities of London and Westminster,b91d61a27402fef68272be7fdd38236de71828036b85d848dca955553cf03bfa
